Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Martin Ross,sheila14@example.org,03940196556,Graphic Design,NED University,2026-07-19,Selected
Michael Valencia,keyemily@example.com,03902787429,Digital Marketing,IBA Karachi,2026-07-19,Selected
Carmen Rose,ibrandt@example.net,03346578713,Web Development,Shah Abdul Latif University,2026-07-19,Selected
Eric Ortiz,jterry@example.org,03366299468,Graphic Design,Shah Abdul Latif University,2026-07-19,Rejected
Jennifer Brown,not_provided@example.com,03480184514,Graphic Design,Shah Abdul Latif University,2026-07-19,Selected
Pamela Roberts,SMITHJULIE@EXAMPLE.ORG,03268388516,App Development,NED University,2026-07-19,Rejected
Ashley Delacruz,alexistyler@example.org,03950240268,App Development,Not Specified,2026-07-19,Under Review
Michael Farrell,russellbeasley@example.com,03576615654,App Development,Sindh University,2026-07-19,Rejected
John Torres,gbender@example.net,03771906594,Graphic Design,NED University,2026-07-19,Under Review
Cameron Cunningham,gallegosangela@example.net,03335290422,Digital Marketing,Mehran UET,2026-07-19,Rejected
Brandy Chavez,UMATTHEWS@EXAMPLE.ORG,03617964053,Graphic Design,NED University,2026-07-19,Rejected
Samantha Pollard,ihanna@example.net,03951718702,Data Analytics,IBA Karachi,2026-07-19,Rejected
Theodore Jones Jr.,cameronhill@example.net,03985698478,Data Analytics,Shah Abdul Latif University,2026-07-19,Rejected
Anita Richard,ryanmorales@example.org,03645352181,Digital Marketing,IBA Karachi,2026-07-19,Under Review
Brad Allen,moorericky@example.net,03974034471,Digital Marketing,Mehran UET,2026-07-19,Rejected
Ashley Jordan,ERIKA97@EXAMPLE.NET,03403690034,Web Development,NED University,2026-07-19,Under Review
Christopher Guerra,jenniferwilliams@example.com,03379473834,App Development,Not Specified,2026-07-19,Rejected
Joseph Hill,tranheidi@example.org,03710947775,App Development,Not Specified,2026-07-19,Selected
Nicole Taylor,HILLKRISTY@EXAMPLE.COM,03584044997,Web Development,LUMS,2026-07-19,Selected
Mrs. Jennifer Morgan,wrightjames@example.com,03262473178,App Development,NED University,2026-07-19,Rejected
Katherine Rodriguez,natasha43@example.org,03391171822,Data Analytics,LUMS,2026-07-19,Rejected
James Mayo,gabriellecameron@example.org,03305641395,Graphic Design,Mehran UET,2026-07-19,Selected
Christopher Thomas,vjones@example.net,03018366752,Digital Marketing,NED University,2026-07-19,Selected
Tyler Williams,herringjames@example.org,03923271937,Graphic Design,Shah Abdul Latif University,2026-07-19,Rejected
Ariel Medina,david51@example.org,03542784980,Web Development,Not Specified,2026-07-19,Rejected
Christopher Lewis,ilee@example.org,03141888059,Digital Marketing,NED University,2026-07-19,Selected
Ricardo Bell,joelthomas@example.org,03292127799,Digital Marketing,SZABIST,2026-07-19,Under Review
Michael Torres,thomas85@example.com,03855744431,Data Analytics,Not Specified,2026-07-19,Selected
Dr. Marvin Thomas Jr.,julie69@example.com,03532871012,Data Analytics,FAST NUCES,2026-07-19,Rejected
Kimberly Smith,housemelinda@example.org,03677360260,Data Analytics,LUMS,2026-07-19,Rejected
Ross Price,gateskathy@example.com,03705466889,App Development,SZABIST,2026-07-19,Selected
Brian Barton,SANDOVALAMY@EXAMPLE.COM,03038597703,Digital Marketing,NED University,2026-07-19,Rejected
Timothy Duncan,esanchez@example.com,03311656670,Graphic Design,SZABIST,2026-07-19,Selected
Rachel Weber,ronaldstephens@example.net,03242102499,Web Development,SZABIST,2026-07-19,Under Review
Don Tucker MD,dramsey@example.org,03980699016,Graphic Design,Not Specified,2026-07-19,Selected
Andrew Wood,chase19@example.net,03867980793,Data Analytics,Shah Abdul Latif University,2026-07-19,Under Review
Jennifer Silva,sarah35@example.org,03462475107,Web Development,SZABIST,2026-07-19,Under Review
Curtis Johnson,TRACEYCARR@EXAMPLE.ORG,03769367632,App Development,LUMS,,Selected
Carol Lawson,stricklandfrank@example.com,03190496631,Web Development,Shah Abdul Latif University,2026-07-19,Selected
Dana Terry,melissa91@example.net,03058651850,Data Analytics,Shah Abdul Latif University,2026-07-19,Selected
Thomas Hughes,erika05@example.org,03518644925,Digital Marketing,Mehran UET,2026-07-19,Under Review
Todd Woods,moralescharles@example.net,03022941318,App Development,FAST NUCES,2026-07-19,Under Review
Suzanne Walker,REIDSTEVEN@EXAMPLE.NET,03461200471,Digital Marketing,Mehran UET,2026-07-19,Under Review
Megan Le,courtneyberger@example.net,03047095214,Digital Marketing,Not Specified,2026-07-19,Selected
Paula Bradley,wareeric@example.net,03014767976,Digital Marketing,FAST NUCES,,Under Review
Teresa Henderson,schmittcaroline@example.com,03198327315,Data Analytics,IBA Karachi,,Rejected
Tara Garcia,JOSEPHPRESTON@EXAMPLE.NET,03824493534,Data Analytics,SZABIST,2026-07-19,Rejected
